utterance,response,response_time,speaker,responder,utterance_time,start_time,error,age,past_tense,plural,overlap,source_file
 driving, he gonna drive drivin down the hill,0.0,MOT,CHI,1.7360000000000042,81.282,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he gonna drive drivin down the hill, drive down the hill,0.0,CHI,MOT,3.093999999999994,83.018,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 drive down the hill, okay,0.0,MOT,MOT,0.9930000000000092,86.112,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 okay, whoo there he goes,0.0,MOT,MOT,0.492999999999995,87.105,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 whoo there he goes, wh what about this one,3.0,MOT,MOT,1.652000000000001,87.598,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 wh what about this one, what's she doin,0.0,MOT,MOT,1.1979999999999933,92.25,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 what's she doin, this door close,11.200000000000003,MOT,CHI,1.4860000000000042,93.448,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 this door close, oh,0.0,CHI,RYA,1.858000000000004,106.134,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 oh, door closed,-2.478999999999999,RYA,MOT,2.478999999999999,107.992,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 door closed, door closed,0.0,MOT,CHI,2.3119999999999976,107.992,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 door closed, xxx drive,0.0,CHI,CHI,1.2980000000000018,110.304,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 xxx drive, drive,0.0,CHI,MOT,6.481999999999999,111.602,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 drive, okay,0.0,MOT,MOT,1.1149999999999949,118.084,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 okay, who's gonna drive,0.0,MOT,MOT,0.5370000000000061,119.199,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 who's gonna drive, drive down hill,-1.0,MOT,CHI,1.48599999999999,119.736,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 drive down hill, drive she's gonna drive down the hill too okay,0.0,CHI,MOT,2.1240000000000094,120.222,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 drive she's gonna drive down the hill too okay, go ahead make her drive,0.0,MOT,MOT,2.706000000000003,122.346,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 go ahead make her drive, drive down,0.0,MOT,CHI,1.2809999999999917,125.052,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 drive down, drive down hill,1.3000000000000114,CHI,CHI,1.8569999999999993,126.333,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 drive down hill, drive down hill,0.0,CHI,CHI,1.9410000000000025,129.49,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 drive down hill, um hm,0.0,CHI,MOT,2.5999999999999943,131.431,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 um hm, xxx drive xxx drive tractor,0.0,MOT,CHI,1.5689999999999884,134.031,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 xxx drive xxx drive tractor, tractor they're eatin,0.0,CHI,CHI,4.8300000000000125,135.6,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 tractor they're eatin, this is,0.0,CHI,MOT,2.600999999999999,140.43,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 this is, tractor eatin,-0.09999999999999432,MOT,CHI,0.742999999999995,143.031,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 tractor eatin, they're eatin on this,0.0,CHI,MOT,1.3649999999999807,143.674,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 they're eatin on this, yeah,0.0,MOT,CHI,1.3190000000000168,145.039,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 yeah, what is that,0.0,CHI,MOT,0.992999999999995,146.358,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 what is that, ah their table,0.0,MOT,CHI,0.5759999999999934,147.351,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 ah their table, okay,0.0,CHI,MOT,2.7840000000000202,147.927,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 okay, the table,0.0,MOT,CHI,1.0979999999999848,150.711,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 the table, they're gon going to drive down hill,0.0,CHI,CHI,1.48599999999999,151.809,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 they're gon going to drive down hill, what are they gonna do down hill,2.0,CHI,RYA,2.024000000000001,153.295,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 what are they gonna do down hill, they're gon going to drive down hill,0.0,RYA,CHI,2.4579999999999984,157.319,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 they're gon going to drive down hill, and then what,0.0,CHI,RYA,2.701000000000022,159.777,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 and then what, they're gon going to drive down hill,0.0,RYA,CHI,0.8479999999999848,162.478,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 they're gon going to drive down hill, okay,0.0,CHI,RYA,2.562000000000012,163.326,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 okay, and then what happens next,-0.7599999999999909,RYA,MOT,0.7599999999999909,165.888,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 and then what happens next, fall in the water,0.0,MOT,CHI,1.7959999999999923,165.888,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 fall in the water,,0.0,CHI,RYA,3.1380000000000052,167.684,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
, fall in the,-1.6529999999999916,RYA,MOT,1.6529999999999916,170.822,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 fall in the, I hope not,0.0,MOT,MOT,1.5689999999999884,170.822,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 I hope not, fall in the water,-0.9960000000000093,MOT,CHI,2.396000000000015,172.391,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 fall in the water,,0.0,CHI,RYA,1.5690000000000168,173.791,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
, Daddy is my ah Daddy left me in the water,0.0,RYA,CHI,0.9259999999999877,175.36,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 Daddy is my ah Daddy left me in the water, what did Daddy do,0.0,CHI,MOT,4.275000000000006,176.286,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 what did Daddy do, can you say that again,0.0,MOT,MOT,1.0089999999999861,180.561,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 can you say that again, Daddy left me in the water,-0.015999999999991132,MOT,CHI,0.742999999999995,181.57,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 Daddy left me in the water, oh,0.0,CHI,RYA,2.805000000000007,182.297,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 oh, he gon going to mow lawn,0.0,RYA,CHI,1.4480000000000075,185.102,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he gon going to mow lawn, okay,0.0,CHI,MOT,2.8049999999999784,186.55,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 okay, puppy go uh puppy uh puppy get in van,1.0,MOT,CHI,0.9480000000000075,189.355,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 puppy go uh puppy uh puppy get in van, he's gonna get in the van,0.0,CHI,RYA,5.533999999999992,191.303,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he's gonna get in the van, mm yep,-0.09999999999999432,RYA,CHI,1.9790000000000134,196.837,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 mm yep, what did the puppy do,0.0,CHI,RYA,3.22199999999998,198.716,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 what did the puppy do, puppy in the van,0.0,RYA,CHI,1.6910000000000025,201.938,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 puppy in the van, oh,0.0,CHI,RYA,3.13900000000001,203.629,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 oh, Ben what what happened now,6.0,RYA,RYA,1.115000000000009,206.768,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 Ben what what happened now, xxx he get in car,0.0,RYA,CHI,3.4539999999999793,213.883,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 xxx he get in car, he get in dat that car,0.0,CHI,CHI,5.035000000000025,217.337,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he get in dat that car, oh,0.0,CHI,RYA,1.73599999999999,222.372,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 oh, he get in back,2.0,RYA,CHI,0.742999999999995,224.108,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he get in back, he get in back,0.0,CHI,CHI,1.858000000000004,226.851,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he get in back, he's getting in back,0.0,CHI,RYA,1.8569999999999993,228.709,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he's getting in back, he get in he get in that back,0.0,RYA,CHI,0.9089999999999918,230.566,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he get in he get in that back, oh,0.0,CHI,RYA,4.0870000000000175,231.475,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 oh, xxx xxx back,0.0,RYA,CHI,1.197999999999979,235.562,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 xxx xxx back, he gonna mow lawn down hill,0.0,CHI,CHI,6.111000000000018,236.76,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he gonna mow lawn down hill, mow lawn down hill okay,0.0,CHI,MOT,2.97199999999998,242.871,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 mow lawn down hill okay, where's where's the puppy now,0.0,MOT,RYA,1.8190000000000168,245.843,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 where's where's the puppy now, he can't drive,2.0,RYA,CHI,2.805000000000007,247.662,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he can't drive, no,0.0,CHI,RYA,1.73599999999999,252.467,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 no, he was back here now where is he,0.0,RYA,RYA,1.6519999999999868,254.203,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he was back here now where is he, now he now he now he go back and now he go here,0.0,RYA,CHI,4.003999999999991,255.855,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 now he now he now he go back and now he go here, here,0.0,CHI,RYA,8.712000000000046,259.859,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 here, he's drivin,0.0,RYA,CHI,0.992999999999995,268.571,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he's drivin, who's driving,0.0,CHI,RYA,3.464999999999975,269.564,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 who's driving, Dad's drivin,0.0,RYA,CHI,1.6519999999999868,273.029,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 Dad's drivin, oh,0.0,CHI,RYA,2.163000000000011,274.681,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 oh, good,0.0,RYA,MOT,1.0980000000000132,276.844,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 good, now kitty get in there,0.0,MOT,CHI,1.0319999999999823,277.942,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 now kitty get in there, who else is drivin,0.0,CHI,MOT,3.3220000000000027,278.974,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 who else is drivin, uh kitty get in there,0.0,MOT,CHI,1.136000000000024,282.296,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 uh kitty get in there, kitty can get in there yeah mm hm,0.0,CHI,MOT,2.7659999999999627,283.432,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 kitty can get in there yeah mm hm,,0.0,MOT,CHI,2.766999999999996,286.198,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
,,0.0,CHI,RYA,0.7430000000000518,288.965,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
, what's the kitty doin in the tractor,0.0,RYA,MOT,1.030999999999949,289.708,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 what's the kitty doin in the tractor, kitty in the meow,0.0,MOT,CHI,3.261000000000024,290.739,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 kitty in the meow, what's this guy doin,0.0,CHI,MOT,4.458000000000027,294.0,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 what's this guy doin, what's he doin,0.0,MOT,MOT,1.197999999999979,298.458,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 what's he doin, they're drivin tractor,0.0,MOT,CHI,0.8260000000000218,299.656,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 they're drivin tractor, drivin tractor okay,0.0,CHI,MOT,2.599999999999966,300.482,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 drivin tractor okay, make him go,0.0,MOT,MOT,1.941000000000031,303.082,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 make him go, drive down the hill,0.0,MOT,CHI,4.828999999999951,305.023,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 drive down the hill, I don't see a hill,0.0,CHI,MOT,3.344000000000051,309.852,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 I don't see a hill, down,1.0,MOT,CHI,2.0249999999999773,313.196,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 down, okay,0.0,CHI,MOT,1.4329999999999927,316.221,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 okay, down here,0.0,MOT,CHI,1.48599999999999,317.654,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 down here, where's the hill,0.0,CHI,RYA,0.8260000000000218,319.14,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 where's the hill, right down dere there,0.0,RYA,CHI,0.6220000000000141,319.966,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 right down dere there, right down there,0.0,CHI,RYA,2.024000000000001,320.588,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 right down there, okay,0.0,RYA,MOT,1.030999999999949,322.612,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 okay, he gon going to go down there,-1.0,MOT,CHI,2.025000000000034,323.643,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he gon going to go down there, he gon going to zoom,0.0,CHI,CHI,3.055000000000007,324.668,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he gon going to zoom, zoom,0.0,CHI,MOT,3.593999999999994,327.723,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 zoom, tractor's gonna zoo,-1.0,MOT,CHI,1.075999999999965,331.317,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 tractor's gonna zoo, zoom down,-2.63900000000001,CHI,MOT,3.63900000000001,331.393,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 zoom down,,0.0,MOT,RYA,2.601000000000056,332.393,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
, zoom,-0.742999999999995,RYA,CHI,0.742999999999995,334.994,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 zoom, zoom down the hill okay,0.0,CHI,MOT,0.9089999999999918,334.994,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 zoom down the hill okay, zoom down hill,0.0,MOT,CHI,3.055000000000007,335.903,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 zoom down hill, zoom,0.0,CHI,RYA,0.9099999999999682,338.958,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 zoom, what's at the bottom of the hill,2.0,RYA,MOT,2.1619999999999777,339.868,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 what's at the bottom of the hill, ah,2.0,MOT,CHI,1.7360000000000468,344.03,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 ah, zoom,12.0,CHI,CHI,1.176999999999964,347.766,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 zoom, he's zoomin down the van,0.0,CHI,CHI,1.663000000000011,360.943,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he's zoomin down the van, zoom in the van what else are they doin,0.0,CHI,MOT,1.858000000000004,362.606,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 zoom in the van what else are they doin, now he go back,0.0,MOT,CHI,2.228999999999985,364.464,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 now he go back, where's he goin,0.0,CHI,MOT,2.191000000000031,366.693,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 where's he goin, he go down the wa,0.0,MOT,CHI,1.1529999999999632,368.884,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he go down the wa, he go he go see wa,0.0,CHI,CHI,2.8660000000000423,370.037,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he go he go see wa, he go see waterfall okay,-0.4000000000000341,CHI,MOT,2.766999999999996,372.903,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he go see waterfall okay, kitty kitty go first,0.0,MOT,CHI,1.941000000000031,375.27,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 kitty kitty go first, kitty goes first,0.0,CHI,MOT,3.259999999999991,377.211,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 kitty goes first, xxx boink,0.0,MOT,CHI,1.4630000000000223,380.471,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 xxx boink, what happened,0.0,CHI,RYA,3.5259999999999536,381.934,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 what happened, what happened Ben,0.0,RYA,RYA,1.629000000000019,385.46,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 what happened Ben, eh ah boink car,0.0,RYA,CHI,1.9630000000000223,387.089,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 eh ah boink car, boink car,0.0,CHI,MOT,2.8769999999999527,389.052,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
