utterance,response,response_time,speaker,responder,utterance_time,start_time,error,age,past_tense,plural,overlap,source_file
 yeah where are they gonna go, what are they gonna do,0,MOT,MOT,15.198,223.039,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what are they gonna do, Mommy gonna,0,MOT,CHI,5.863,238.237,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 Mommy gonna, I miss mommy,0,CHI,CHI,3.1,244.1,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 I miss mommy, I see,0,CHI,MOT,11.086,247.2,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 I see, daddy fell down,0,MOT,JES,9.277,258.286,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 daddy fell down, in the slide down,0,JES,CHI,3.808,267.563,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 in the slide down, and what happens the slide down,0,CHI,MOT,5.84,271.371,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and what happens the slide down, somebody get in get in here,0,MOT,CHI,3.019,277.211,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 somebody get in get in here, hm I wonder what happened to this mommy and why she won't move anymore,0,CHI,MOT,4.586,280.23,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 hm I wonder what happened to this mommy and why she won't move anymore, what's daddy doing,0,MOT,JES,17.566,284.816,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's daddy doing, drivin the tractor,0,JES,CHI,5.724,302.382,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 drivin the tractor, oh yeah,0,CHI,JES,3.39,308.106,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 oh yeah, where's he gonna go,0,JES,JES,0.464,311.496,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 where's he gonna go, the baby gonna sit on his lap,0,JES,CHI,1.219,311.96,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 the baby gonna sit on his lap, what are the babies doing,0,CHI,JES,4.412,313.179,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what are the babies doing, hm,0,JES,JES,44.884,317.591,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 hm, look look at this one,0,JES,CHI,3.797,362.475,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 look look at this one, what's is he doin,0,CHI,MOT,2.925,366.272,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's is he doin, or she,0,MOT,MOT,1.463,369.197,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 or she, in the farm,0,MOT,CHI,0.987,370.66,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 in the farm, in the farm,0,CHI,JES,1.695,371.647,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 in the farm, this is in the farm,0,JES,CHI,1.695,373.342,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this is in the farm, the babies are going to the farm,0,CHI,JES,3.53,375.037,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 the babies are going to the farm, one baby,0,JES,CHI,13.014,378.567,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 one baby, here's two,0,CHI,CHI,2.822,391.581,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 here's two, now where are they going,0,CHI,JES,1.219,394.403,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 now where are they going, what are you finding in there,0,JES,MOT,30.162,395.622,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what are you finding in there, dis this,0,MOT,CHI,4.795,425.784,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 dis this, this thing,0,CHI,CHI,2.473,430.579,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this thing, and then,0,CHI,CHI,3.088,433.052,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and then, wait a minute,0,CHI,MOT,4.784,436.14,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 wait a minute, what's that baby doin,0,MOT,MOT,0.394,440.924,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's that baby doin, this gonna go in here,0,MOT,CHI,1.15,441.318,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this gonna go in here, then xxx the xxx,0,CHI,CHI,3.286,442.468,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 then xxx the xxx, this gonna be an elevat elevator,0,CHI,CHI,5.7,445.754,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this gonna be an elevat elevator, oh,0,CHI,MOT,3.727,451.454,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 oh, where's the elevator goin,0,MOT,MOT,1.962,455.181,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 where's the elevator goin, here's the baby,0,MOT,CHI,4.133,457.143,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 here's the baby, where's the elevator taking the babies,0,CHI,MOT,3.355,461.276,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 where's the elevator taking the babies, to the hotel room,0,MOT,CHI,4.168,464.631,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 to the hotel room, what number,0,CHI,MOT,2.462,468.799,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what number, this,0,MOT,CHI,9.195,471.261,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this, what number hotel room are they goin to,0,CHI,MOT,0.569,480.456,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what number hotel room are they goin to, what's that,0,MOT,MOT,114.018,481.025,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's that, that's a funny sound,0,MOT,CHI,1.3,595.043,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 that's a funny sound, what do you think it's sposta be,0,CHI,MOT,2,596.343,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what do you think it's sposta be, a cow,0,MOT,CHI,3.077,598.343,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 a cow, yeah,0,CHI,MOT,1.893,601.42,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 yeah, and what's that,0,MOT,MOT,3.796,603.313,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and what's that, a cow,0,MOT,CHI,10.972,607.109,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 a cow, is he goin in there too,0,CHI,JES,1.416,618.081,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 is he goin in there too, I can fit him in there,0,JES,CHI,3.553,619.497,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 I can fit him in there, and then xxx,0,CHI,CHI,4.04,623.05,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and then xxx, then this comes out,0,CHI,CHI,3.82,627.09,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 then this comes out, xxx,0,CHI,CHI,17.833,630.91,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 xxx, this here and this,0,CHI,CHI,6.711,648.743,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this here and this, hm I never saw the pig before,0,CHI,MOT,2.6,655.454,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 hm I never saw the pig before, was he hidin up there,0,MOT,MOT,10.995,658.054,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 was he hidin up there, yeah,0,MOT,CHI,2.043,669.049,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 yeah, what's that person doing over there,0,CHI,MOT,1.37,671.092,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's that person doing over there, on the horsie,0,MOT,CHI,15.999,672.462,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 on the horsie, what's he doing on the horsie,0,CHI,MOT,2.02,688.461,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's he doing on the horsie, or she could be a she,0,MOT,MOT,3.483,690.481,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 or she could be a she, elevator,0,MOT,CHI,2.403,693.964,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 elevator, she want me to xxx her,0,CHI,CHI,7.384,696.367,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 she want me to xxx her, blue eyes,0,CHI,CHI,34.772,703.751,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 blue eyes, the baby,0,CHI,CHI,7.918,738.523,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 the baby, they both have blue eyes,0,CHI,CHI,0.511,746.441,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 they both have blue eyes, oh,0,CHI,MOT,3.657,746.952,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 oh, who else has blue eyes,0,MOT,MOT,1.022,750.609,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 who else has blue eyes, Emma,0,MOT,CHI,1.938,751.631,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 Emma, you have brown eyes,0,CHI,CHI,1.614,753.569,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 you have brown eyes, what does Jessica have,0,CHI,MOT,2.473,755.183,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what does Jessica have, what does she have,0,MOT,MOT,6.455,757.656,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what does she have, don't know,0,MOT,CHI,0.314,764.111,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 don't know, xxx,0,CHI,MOT,1.103,764.425,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 xxx, I think she has blue eyes like you honey,0,MOT,MOT,0.801,765.528,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 I think she has blue eyes like you honey, I wanna xxx,0,MOT,CHI,1.463,766.329,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 I wanna xxx, can you get the doors closed,0,CHI,MOT,11.192,767.792,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 can you get the doors closed, so when you were last at a hotel room what did you do,0,MOT,MOT,37.906,778.984,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 so when you were last at a hotel room what did you do, we forgot nuclear,0,MOT,CHI,20.84,816.89,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 we forgot nuclear, oh did we forgot nuclear Barney,0,CHI,MOT,2.554,837.73,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 oh did we forgot nuclear Barney, and we,0,MOT,CHI,2.287,840.284,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and we, what else,0,CHI,MOT,1.126,842.571,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what else, what did you do,0,MOT,MOT,6.525,843.697,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what did you do, where did they go,0,MOT,CHI,21.817,850.222,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 where did they go, where did they go,0,CHI,JES,2.1,872.039,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 where did they go, in here,0,JES,CHI,5.154,874.139,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 in here, do you wanna play with the house,0,CHI,JES,7.964,879.293,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 do you wanna play with the house, there's a big doll house over here over there the baby could play in,0,JES,JES,6.908,887.257,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 there's a big doll house over here over there the baby could play in, we can take some we can take some of these for the dollhouse,0,JES,CHI,6.734,894.165,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 we can take some we can take some of these for the dollhouse, okay,0,CHI,JES,15.36,900.899,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 okay, we can do that,0,JES,CHI,0.79,916.259,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 we can do that, we can do that,0,CHI,MOT,1.799,917.049,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
