utterance,response,response_time,speaker,responder,utterance_time,error,age,past_tense,plural,overlap,source_file
 you were planting, yes,0.0,MOT,CHI,1.9440000000000168,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yes, oh and then what did you do,0.0,CHI,MOT,0.664999999999992,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 oh and then what did you do, uh,0.0,MOT,CHI,1.9790000000000134,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 uh, what's in there,0.0,CHI,MOT,3.657999999999987,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what's in there, what's in there,0.0,MOT,MOT,2.9259999999999877,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what's in there, wa,0.0,MOT,CHI,0.8980000000000246,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 wa, wa,0.0,CHI,MOT,2.3259999999999934,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 wa, yeah,0.0,MOT,MOT,1.4629999999999939,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yeah, and what's the water inside,0.0,MOT,MOT,1.9790000000000134,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 and what's the water inside, what's the water in,0.0,MOT,MOT,3.390999999999991,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what's the water in, okay I'm gonna see if there's any other pictures you'd like to see,3.0,MOT,MOT,0.8979999999999961,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 okay I'm gonna see if there's any other pictures you'd like to see, who's that with you,0.0,MOT,MOT,2.852000000000004,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 who's that with you, da,0.0,MOT,CHI,1.8959999999999866,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 da, yeah,0.0,CHI,MOT,2.0940000000000225,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yeah, what were you doin,0.0,MOT,MOT,0.9819999999999709,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what were you doin, sitting with daddy,0.0,MOT,CHI,2.444000000000017,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 sitting with daddy, let's see what else,3.0,CHI,MOT,2.444999999999993,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 let's see what else, cute,2.9990000000000236,MOT,JEN,1.8050000000000068,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 cute, oop who you with now,5.0,JEN,MOT,1.0559999999999832,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 oop who you with now, mommy,0.0,MOT,CHI,1.629000000000019,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 mommy, what were we doin,0.0,CHI,MOT,1.4309999999999832,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what were we doin, what were we doin,0.0,MOT,MOT,1.2789999999999964,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what were we doin, plantin,0.0,MOT,CHI,3.141999999999996,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 plantin, planting,0.0,CHI,MOT,1.3140000000000214,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 planting, what's that,5.600000000000023,MOT,MOT,1.2129999999999654,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what's that, do you remember what that is,0.0,MOT,MOT,1.2309999999999945,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 do you remember what that is, a tree,0.0,MOT,CHI,6.084000000000003,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 a tree, yep,0.0,CHI,MOT,2.444000000000017,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yep, xxx,0.0,MOT,MOT,1.1479999999999677,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 xxx, ooh it looks like you're gonna do somethin here what were you doin then,3.0,MOT,MOT,5.1200000000000045,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 ooh it looks like you're gonna do somethin here what were you doin then, were you running,0.0,MOT,MOT,2.7690000000000055,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 were you running, any any good pictures,15.0,MOT,MOT,2.3600000000000136,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 any any good pictures, any ones you like better,0.0,MOT,MOT,1.7409999999999854,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 any ones you like better, do you like all,9.0,MOT,MOT,1.3140000000000214,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 do you like all, all right I'll put them away,0.0,MOT,MOT,1.7229999999999563,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 all right I'll put them away, okay,0.0,MOT,CHI,2.5270000000000437,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 okay, should we keep,0.0,CHI,MOT,2.527999999999963,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 should we keep, I'll keep safe okay,0.0,MOT,MOT,2.6759999999999877,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 I'll keep safe okay, okay,0.0,MOT,CHI,3.5740000000000123,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 okay, xxx,0.0,CHI,CHI,3.840000000000032,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 xxx, what's this here,9.400000000000034,CHI,JEN,2.575999999999965,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what's this here, a phone,0.0,JEN,CHI,1.2309999999999945,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 a phone, yeah,0.0,CHI,JEN,2.194999999999993,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yeah, what do you do on a phone,0.0,JEN,JEN,0.5640000000000214,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what do you do on a phone, uh call,0.0,JEN,CHI,0.8149999999999977,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 uh call, you call,0.0,CHI,JEN,3.8239999999999554,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 you call, hello,0.0,JEN,CHI,0.8799999999999955,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 hello, hello,0.0,CHI,JEN,0.9820000000000277,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 hello, who's who talks to you on the phone,0.0,JEN,MOT,1.478999999999985,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 who's who talks to you on the phone, mommy,0.0,MOT,CHI,3.7239999999999895,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 mommy, not just mommy who else,0.0,CHI,MOT,2.194000000000017,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 not just mommy who else, who talked to you on the phone yesterday,0.0,MOT,MOT,1.629000000000019,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 who talked to you on the phone yesterday, remember who talked to you on the phone yesterday,0.0,MOT,MOT,2.36099999999999,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 remember who talked to you on the phone yesterday, remember,0.0,MOT,MOT,3.4259999999999877,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 remember, grandma,0.0,MOT,FAT,2.9259999999999877,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 grandma, who was on the phone Jilly,0.0,FAT,FAT,1.146000000000015,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 who was on the phone Jilly, mommy and daddy,0.0,FAT,CHI,1.6129999999999995,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 mommy and daddy, and daddy and what about grandma,0.0,CHI,MOT,4.13900000000001,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 and daddy and what about grandma, did grandma call you yesterday,0.0,MOT,MOT,1.711999999999989,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 did grandma call you yesterday, yes,0.0,MOT,CHI,1.1299999999999955,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yes, what did she say,0.0,CHI,MOT,0.9809999999999945,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what did she say, did she ask you if you had fun at school,8.0,MOT,MOT,1.1480000000000246,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 did she ask you if you had fun at school, what'd what did you tell her,0.0,MOT,MOT,2.1580000000000155,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what'd what did you tell her, I needed to go to,0.0,MOT,CHI,2.19399999999996,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 I needed to go to, yum yum yum sit dere there,0.0,CHI,CHI,6.518000000000029,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yum yum yum sit dere there, ah ah ah please won't you hide a pen xxx yes,0.0,CHI,CHI,3.9069999999999823,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 ah ah ah please won't you hide a pen xxx yes, they're gonna have dinner,3.0,CHI,MOT,21.694999999999993,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 they're gonna have dinner, yes,0.0,MOT,CHI,0.8969999999999914,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yes, yummy what are they having,0.0,CHI,MOT,1.2320000000000277,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yummy what are they having, I can get the table for it,0.0,MOT,JEN,1.5459999999999923,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 I can get the table for it, okay,0.0,JEN,CHI,3.5260000000000105,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 okay, what are they gonna have,5.0,CHI,MOT,0.76400000000001,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what are they gonna have, what did we just have for dinner,0.0,MOT,MOT,1.7649999999999864,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what did we just have for dinner, you didn't eat that much but,0.0,MOT,MOT,3.7409999999999854,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 you didn't eat that much but, remember what we had for dinner,0.0,MOT,MOT,3.1090000000000373,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 remember what we had for dinner, xxx bars and hotdogs,0.0,MOT,MOT,2.825999999999965,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 xxx bars and hotdogs, baby,15.0,MOT,CHI,7.0,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 baby, here I'll be the mommy and you be the baby okay,0.0,CHI,MOT,0.8969999999999914,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 here I'll be the mommy and you be the baby okay, okay what's the baby's name,0.0,MOT,MOT,3.3430000000000177,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 okay what's the baby's name, does the baby have a name,0.0,MOT,MOT,3.80600000000004,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 does the baby have a name, do you want me to call her something,0.0,MOT,MOT,3.9079999999999018,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 do you want me to call her something, mommy,0.0,MOT,CHI,4.388000000000034,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 mommy, hi baby how are you,0.0,CHI,MOT,3.4909999999999854,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 hi baby how are you, how was your day today did you have a fun day,0.0,MOT,MOT,2.6940000000000737,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 how was your day today did you have a fun day, yes,0.0,MOT,CHI,2.5090000000000146,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
